Jahr,Bezirk,Geschlecht,Anzahl_Geburten
2002,1010,1,58
2002,1010,2,72
2002,1020,1,490
2002,1020,2,491
2002,1030,1,370
2002,1030,2,391
2002,1040,1,135
2002,1040,2,124
2002,1050,1,268
2002,1050,2,289
2002,1060,1,141
2002,1060,2,143
2002,1070,1,157
2002,1070,2,148
2002,1080,1,102
2002,1080,2,108
2002,1090,1,169
2002,1090,2,197
2002,1100,1,839
2002,1100,2,793
2002,1110,1,473
2002,1110,2,482
2002,1120,1,424
2002,1120,2,417
2002,1130,1,205
2002,1130,2,227
2002,1140,1,429
2002,1140,2,369
2002,1150,1,398
2002,1150,2,381
2002,1160,1,542
2002,1160,2,487
2002,1170,1,253
2002,1170,2,263
2002,1180,1,237
2002,1180,2,226
2002,1190,1,281
2002,1190,2,322
2002,1200,1,446
2002,1200,2,481
2002,1210,1,659
2002,1210,2,606
2002,1220,1,819
2002,1220,2,717
2002,1230,1,416
2002,1230,2,383
2003,1010,1,84
2003,1010,2,84
2003,1020,1,512
2003,1020,2,490
2003,1030,1,426
2003,1030,2,380
2003,1040,1,155
2003,1040,2,139
2003,1050,1,307
2003,1050,2,269
2003,1060,1,154
2003,1060,2,142
2003,1070,1,157
2003,1070,2,116
2003,1080,1,104
2003,1080,2,93
2003,1090,1,224
2003,1090,2,195
2003,1100,1,857
2003,1100,2,785
2003,1110,1,506
2003,1110,2,427
2003,1120,1,438
2003,1120,2,420
2003,1130,1,205
2003,1130,2,217
2003,1140,1,394
2003,1140,2,360
2003,1150,1,440
2003,1150,2,401
2003,1160,1,520
2003,1160,2,503
2003,1170,1,275
2003,1170,2,238
2003,1180,1,258
2003,1180,2,239
2003,1190,1,301
2003,1190,2,268
2003,1200,1,507
2003,1200,2,478
2003,1210,1,626
2003,1210,2,616
2003,1220,1,766
2003,1220,2,665
2003,1230,1,393
2003,1230,2,352
2004,1010,1,72
2004,1010,2,73
2004,1020,1,491
2004,1020,2,471
2004,1030,1,428
2004,1030,2,414
2004,1040,1,146
2004,1040,2,155
2004,1050,1,300
2004,1050,2,283
2004,1060,1,129
2004,1060,2,139
2004,1070,1,150
2004,1070,2,149
2004,1080,1,118
2004,1080,2,99
2004,1090,1,194
2004,1090,2,179
2004,1100,1,928
2004,1100,2,793
2004,1110,1,496
2004,1110,2,507
2004,1120,1,493
2004,1120,2,425
2004,1130,1,211
2004,1130,2,199
2004,1140,1,419
