Jahr,Bezirk,Geschlecht,Alter_Gruppe,Burgenland,Kaernten,Niederoesterreich,Oberoesterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien,Ausland,Unbekannt
2008,1010,1,1,0,1,9,1,0,4,0,0,207,39,0
2008,1010,1,2,0,1,3,2,1,1,0,0,202,44,0
2008,1010,1,3,0,2,7,4,1,0,1,2,198,40,1
2008,1010,1,4,2,2,7,3,2,3,1,2,201,72,3
2008,1010,1,5,2,1,18,6,3,6,4,1,253,138,2
2008,1010,1,6,1,6,9,16,10,15,5,0,277,176,2
2008,1010,1,7,3,16,26,17,10,28,5,10,258,207,0
2008,1010,1,8,5,16,41,32,6,30,9,4,324,212,0
2008,1010,1,9,4,19,37,31,10,35,12,8,322,228,3
2008,1010,1,10,9,26,43,26,13,18,10,8,326,178,4
2008,1010,1,11,7,17,28,20,11,36,12,6,270,223,9
2008,1010,1,12,6,15,38,32,12,28,6,4,236,215,14
2008,1010,1,13,8,14,47,32,17,28,16,5,302,197,21
2008,1010,1,14,10,9,44,14,8,19,7,3,301,172,20
2008,1010,1,15,7,2,25,9,2,8,3,0,106,95,15
2008,1010,1,16,0,1,35,11,1,13,1,2,107,83,22
2008,1010,1,17,6,1,35,11,4,16,2,4,154,96,68
2009,1010,1,1,0,1,9,1,0,3,0,0,207,44,0
2009,1010,1,2,0,1,5,1,1,1,0,0,207,50,0
2009,1010,1,3,0,0,6,5,0,0,1,1,198,38,0
2009,1010,1,4,3,2,9,5,1,2,2,2,200,53,3
2009,1010,1,5,3,3,19,6,5,8,4,0,249,136,2
2009,1010,1,6,2,6,13,10,11,14,4,1,251,153,3
2009,1010,1,7,1,13,21,19,12,21,3,9,254,193,0
2009,1010,1,8,5,17,37,23,7,23,10,2,303,191,0
2009,1010,1,9,2,18,37,29,14,27,13,8,331,212,3
2009,1010,1,10,10,26,41,25,12,29,8,7,329,174,4
2009,1010,1,11,6,19,32,22,10,31,12,5,280,214,5
2009,1010,1,12,6,14,35,32,13,34,9,4,230,199,10
2009,1010,1,13,9,13,43,36,17,27,14,5,276,214,19
2009,1010,1,14,10,12,52,15,11,17,7,2,330,186,16
2009,1010,1,15,7,4,21,9,2,9,3,1,122,104,11
2009,1010,1,16,2,0,34,11,2,11,1,2,105,79,18
2009,1010,1,17,6,1,40,11,3,18,3,4,169,98,48
2010,1010,1,1,0,2,7,2,0,3,0,0,233,36,0
2010,1010,1,2,0,1,3,1,0,1,1,0,203,56,0
2010,1010,1,3,0,0,8,3,1,0,0,1,211,40,0
2010,1010,1,4,1,1,9,4,1,1,2,2,207,58,1
2010,1010,1,5,3,2,17,5,9,9,4,1,222,122,1
2010,1010,1,6,4,6,18,22,7,14,5,2,248,151,2
2010,1010,1,7,1,7,21,14,11,25,6,4,230,178,0
2010,1010,1,8,4,21,33,22,11,20,10,6,289,203,0
2010,1010,1,9,4,19,34,31,11,30,11,6,317,197,1
2010,1010,1,10,7,22,41,20,12,36,8,5,326,176,1
2010,1010,1,11,8,21,30,25,8,24,12,6,300,199,6
2010,1010,1,12,4,13,36,25,11,29,9,3,237,215,7
2010,1010,1,13,7,12,40,33,17,21,12,5,258,195,17
