Lebendgeburten in Wien gemeldeter Personen nach Geschlecht des Kindes und Alter der Mutter seit 2002 - Wien | Live births of residents in Vienna by sex of child and age of mother since 2002 - Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGE;BIR
AT13;90000;90000;2002;2002;1;14;1
AT13;90000;90000;2002;2002;1;15;12
AT13;90000;90000;2002;2002;1;16;43
AT13;90000;90000;2002;2002;1;17;62
AT13;90000;90000;2002;2002;1;18;115
AT13;90000;90000;2002;2002;1;19;199
AT13;90000;90000;2002;2002;1;20;219
AT13;90000;90000;2002;2002;1;21;267
AT13;90000;90000;2002;2002;1;22;309
AT13;90000;90000;2002;2002;1;23;350
AT13;90000;90000;2002;2002;1;24;393
AT13;90000;90000;2002;2002;1;25;450
AT13;90000;90000;2002;2002;1;26;408
AT13;90000;90000;2002;2002;1;27;468
AT13;90000;90000;2002;2002;1;28;498
AT13;90000;90000;2002;2002;1;29;525
AT13;90000;90000;2002;2002;1;30;548
AT13;90000;90000;2002;2002;1;31;526
AT13;90000;90000;2002;2002;1;32;522
AT13;90000;90000;2002;2002;1;33;503
AT13;90000;90000;2002;2002;1;34;440
AT13;90000;90000;2002;2002;1;35;356
AT13;90000;90000;2002;2002;1;36;272
AT13;90000;90000;2002;2002;1;37;228
AT13;90000;90000;2002;2002;1;38;204
AT13;90000;90000;2002;2002;1;39;134
AT13;90000;90000;2002;2002;1;40;108
AT13;90000;90000;2002;2002;1;41;62
AT13;90000;90000;2002;2002;1;42;41
AT13;90000;90000;2002;2002;1;43;20
AT13;90000;90000;2002;2002;1;44;14
AT13;90000;90000;2002;2002;1;45;4
AT13;90000;90000;2002;2002;1;46;5
AT13;90000;90000;2002;2002;1;47;3
AT13;90000;90000;2002;2002;1;48;1
AT13;90000;90000;2002;2002;1;50;1
AT13;90000;90000;2002;2002;2;14;4
AT13;90000;90000;2002;2002;2;15;17
AT13;90000;90000;2002;2002;2;16;37
AT13;90000;90000;2002;2002;2;17;73
AT13;90000;90000;2002;2002;2;18;120
AT13;90000;90000;2002;2002;2;19;169
AT13;90000;90000;2002;2002;2;20;254
AT13;90000;90000;2002;2002;2;21;296
AT13;90000;90000;2002;2002;2;22;310
AT13;90000;90000;2002;2002;2;23;343
AT13;90000;90000;2002;2002;2;24;343
AT13;90000;90000;2002;2002;2;25;381
AT13;90000;90000;2002;2002;2;26;420
AT13;90000;90000;2002;2002;2;27;466
AT13;90000;90000;2002;2002;2;28;533
AT13;90000;90000;2002;2002;2;29;512
AT13;90000;90000;2002;2002;2;30;514
AT13;90000;90000;2002;2002;2;31;502
AT13;90000;90000;2002;2002;2;32;502
AT13;90000;90000;2002;2002;2;33;469
AT13;90000;90000;2002;2002;2;34;398
AT13;90000;90000;2002;2002;2;35;352
AT13;90000;90000;2002;2002;2;36;303
AT13;90000;90000;2002;2002;2;37;238
AT13;90000;90000;2002;2002;2;38;177
AT13;90000;90000;2002;2002;2;39;142
AT13;90000;90000;2002;2002;2;40;93
AT13;90000;90000;2002;2002;2;41;62
AT13;90000;90000;2002;2002;2;42;40
AT13;90000;90000;2002;2002;2;43;26
AT13;90000;90000;2002;2002;2;44;7
AT13;90000;90000;2002;2002;2;45;10
AT13;90000;90000;2002;2002;2;46;2
AT13;90000;90000;2002;2002;2;47;2
AT13;90000;90000;2003;2003;1;13;3
AT13;90000;90000;2003;2003;1;14;3
AT13;90000;90000;2003;2003;1;15;13
AT13;90000;90000;2003;2003;1;16;34
AT13;90000;90000;2003;2003;1;17;72
AT13;90000;90000;2003;2003;1;18;125
AT13;90000;90000;2003;2003;1;19;154
AT13;90000;90000;2003;2003;1;20;230
AT13;90000;90000;2003;2003;1;21;295
AT13;90000;90000;2003;2003;1;22;339
AT13;90000;90000;2003;2003;1;23;349
AT13;90000;90000;2003;2003;1;24;365
AT13;90000;90000;2003;2003;1;25;406
AT13;90000;90000;2003;2003;1;26;469
AT13;90000;90000;2003;2003;1;27;471
AT13;90000;90000;2003;2003;1;28;539
AT13;90000;90000;2003;2003;1;29;542
AT13;90000;90000;2003;2003;1;30;546
AT13;90000;90000;2003;2003;1;31;534
AT13;90000;90000;2003;2003;1;32;536
AT13;90000;90000;2003;2003;1;33;474
AT13;90000;90000;2003;2003;1;34;424
AT13;90000;90000;2003;2003;1;35;393
AT13;90000;90000;2003;2003;1;36;356
AT13;90000;90000;2003;2003;1;37;282
AT13;90000;90000;2003;2003;1;38;214
AT13;90000;90000;2003;2003;1;39;158
AT13;90000;90000;2003;2003;1;40;120
AT13;90000;90000;2003;2003;1;41;67
AT13;90000;90000;2003;2003;1;42;44
AT13;90000;90000;2003;2003;1;43;30
AT13;90000;90000;2003;2003;1;44;10
AT13;90000;90000;2003;2003;1;45;9
AT13;90000;90000;2003;2003;1;46;1
AT13;90000;90000;2003;2003;1;48;1
AT13;90000;90000;2003;2003;1;49;1
AT13;90000;90000;2003;2003;2;14;3
AT13;90000;90000;2003;2003;2;15;8
AT13;90000;90000;2003;2003;2;16;42
AT13;90000;90000;2003;2003;2;17;56
AT13;90000;90000;2003;2003;2;18;104
AT13;90000;90000;2003;2003;2;19;189
AT13;90000;90000;2003;2003;2;20;234
AT13;90000;90000;2003;2003;2;21;285
AT13;90000;90000;2003;2003;2;22;312
AT13;90000;90000;2003;2003;2;23;312
AT13;90000;90000;2003;2003;2;24;374
AT13;90000;90000;2003;2003;2;25;390
AT13;90000;90000;2003;2003;2;26;435
AT13;90000;90000;2003;2003;2;27;429
AT13;90000;90000;2003;2003;2;28;486
AT13;90000;90000;2003;2003;2;29;471
AT13;90000;90000;2003;2003;2;30;511
AT13;90000;90000;2003;2003;2;31;489
AT13;90000;90000;2003;2003;2;32;444
AT13;90000;90000;2003;2003;2;33;430
AT13;90000;90000;2003;2003;2;34;380
AT13;90000;90000;2003;2003;2;35;388
AT13;90000;90000;2003;2003;2;36;291
AT13;90000;90000;2003;2003;2;37;248
AT13;90000;90000;2003;2003;2;38;164
AT13;90000;90000;2003;2003;2;39;136
AT13;90000;90000;2003;2003;2;40;113
AT13;90000;90000;2003;2003;2;41;72
AT13;90000;90000;2003;2003;2;42;39
AT13;90000;90000;2003;2003;2;43;21
AT13;90000;90000;2003;2003;2;44;13
AT13;90000;90000;2003;2003;2;45;5
AT13;90000;90000;2003;2003;2;46;2
AT13;90000;90000;2003;2003;2;49;1
AT13;90000;90000;2004;2004;1;13;1
AT13;90000;90000;2004;2004;1;14;4
AT13;90000;90000;2004;2004;1;15;17
AT13;90000;90000;2004;2004;1;16;32
AT13;90000;90000;2004;2004;1;17;68
AT13;90000;90000;2004;2004;1;18;131
